City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,0.85,74,75,5.66,CA,2024-06-10 02:46:59
1,arizona city,32.7559,-111.671,35.12,11,67,0.89,US,2024-06-10 02:46:59
2,naldurg,17.8167,76.3,27.28,64,34,6.76,IN,2024-06-10 02:47:00
3,aweil,8.7682,27.4002,23.2,85,100,1.44,SS,2024-06-10 02:47:00
4,galliano,29.4422,-90.2992,27.78,77,2,2.91,US,2024-06-10 02:47:00
5,hawaiian paradise park,19.5933,-154.9731,26.73,70,75,0.89,US,2024-06-10 02:47:00
6,saipan,15.1355,145.701,32.39,66,40,7.2,MP,2024-06-10 02:47:01
7,mejit,10.2753,170.8646,28.35,80,77,7.36,MH,2024-06-10 02:47:01
8,san jose de jachal,-30.2406,-68.7469,11.18,43,2,0.98,AR,2024-06-10 02:47:01
9,yazd,31.8972,54.3675,24.06,16,0,2.06,IR,2024-06-10 02:47:01
10,hithadhoo,-0.6,73.0833,28.52,73,71,2.54,MV,2024-06-10 02:47:02
11,labytnangi,66.6572,66.4183,14.1,70,64,0.92,RU,2024-06-10 02:47:02
12,hermanus,-34.4187,19.2345,11.56,75,2,4.56,ZA,2024-06-10 02:47:02
13,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,75,75,5.81,RU,2024-06-10 02:47:02
14,nyurba,63.2842,118.3319,22.87,51,71,1.56,RU,2024-06-10 02:47:02
15,saint-francois,46.4154,3.9054,12.45,100,3,0.0,FR,2024-06-10 02:47:03
16,rio grande,-32.035,-52.0986,21.06,87,95,4.01,BR,2024-06-10 02:47:03
17,dudinka,69.4058,86.1778,3.71,94,91,3.58,RU,2024-06-10 02:47:03
18,longyearbyen,78.2186,15.6401,3.91,75,40,3.6,SJ,2024-06-10 02:47:03
19,adamstown,-25.066,-130.1015,22.35,75,100,5.98,PN,2024-06-10 02:47:03
20,puerto natales,-51.7236,-72.4875,1.3,99,100,1.87,CL,2024-06-10 02:47:04
21,ceska kamenice,50.7978,14.4177,14.39,66,100,0.45,CZ,2024-06-10 02:47:04
22,hammerfest,70.6634,23.6821,11.25,71,75,4.63,NO,2024-06-10 02:47:04
23,urumqi,43.801,87.6005,27.53,26,0,2.0,CN,2024-06-10 02:43:19
